,ClauseID,Doc,SentID,SentForm,VForm,VLemma,VMorph,VMorphForm,VTense,VAspect,Voice,VSylCo,VFreq,Aux3,Aux2,Aux1,PassAux,VClass,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,OvertObj,OvertIObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,OvertObl1,Obl2,Obl3,Obl4,Obl5
0,1,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],causing,cause,VBG,Ger,Fut,Simple,Act,2.0,3.31e-05,/,will,be,/,/,This killing of a respected cleric,/,/,killing,7.24e-05,def,Sing,3,nonconc,full,10.0,NN,us,1,0.00102,us,def,Plur,1,human,1.5,PRP,pron,/,/,/,/,/
1,2,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],come,come,VB,Inf,Tenseless,Simple,Act,1.0,0.000603,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2,3,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,announced,announce,VBD,Fin,Past,Simple,Act,2.0,8.71e-05,/,/,/,/,/,Iraqi authorities,/,/,authorities,7.24e-05,indef,Plur,3,org,full,7.0,NNS,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3,4,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,busted,bust,VBN,Part,Past,Perf,Act,2.0,4.79e-06,/,/,had,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1.0,PRP,3 terrorist cells operating in Baghdad,0,4.79e-05,cells,indef,Plur,3,org,11,NNS,full,/,/,/,/,/
4,5,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,operating,operate,VBG,Ger,Tenseless,Simple,Act,4.0,5.37e-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
5,6,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,3,Two of them were being run by 2 officials of the Ministry of the Interior!,run,run,VBN,Part,Past,Prog,Pass,1.0,0.000295,/,were,being,be,/,Two of them,/,/,Two,0.00129,indef,Plur,3,conc,num,3.0,CD,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
6,7,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",be,be,VB,Inf,Tenseless,Simple,Act,1.0,0.00631,/,/,would,/,/,this,/,/,this,0.00631,indef,Sing,3,/,det,1.0,DT,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
7,8,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",having,have,VBG,Ger,Tenseless,Simple,Act,2.0,0.000363,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
8,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",employ,employ,VB,Inf,Tenseless,Simple,Act,2.0,8.91e-06,/,/,/,/,/,J. Edgar Hoover,/,/,J.,9.77e-05,def,Sing,3,/,proper,5.0,NNP,members of the Weathermen bombers,0,0.000245,members,indef,Plur,3,NMA!,9.0,NNS,full,/,/,/,/,/
9,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,5,The third was being run by the head of an investment firm.,run,run,VBN,Part,Past,Prog,Pass,1.0,0.000295,/,was,being,be,/,The third,/,/,third,0.000209,def,/,3,conc,NMN!,2.0,JJ,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
10,11,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,wonder,wonder,VBP,Fin,Pres,Simple,Act,2.0,7.59e-05,/,/,/,/,/,You,/,/,You,0.00977,def,/,2,human,pron,1.0,PRP,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
11,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,manipulating,manipulate,VBG,Part,Past,Simple,Act,5.0,2.75e-06,/,/,was,/,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1.0,PRP,the market,0,0.000195,market,def,Sing,3,org,3.0,NN,full,/,/,/,/,/
12,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,7,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,operating,operate,VBG,Part,Past,Simple,Act,4.0,5.37e-05,/,/,were,/,/,The cells,/,/,cells,4.79e-05,def,Plur,3,org,full,2.0,NNS,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
13,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",made,make,VBN,Part,Past,Simple,Pass,1.0,0.000832,/,/,was,be,/,the announcement,/,/,announcement,1.95e-05,def,Sing,3,nonconc,full,4.0,NN,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
14,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",show,show,VB,Inf,Tenseless,Simple,Act,1.0,0.000437,/,/,/,/,/,the announcement,/,/,announcement,1.95e-05,def,Sing,3,nonconc,full,4.0,NN,progress in identifying and breaking up terror cells,0,6.46e-05,progress,indef,Sing,3,nonconc,15.0,NN,full,/,/,/,/,/
15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",identifying,identify,VBG,Ger,Tenseless,Simple,Act,5.0,1.1e-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,terror cells,0,4.79e-05,cells,indef,Plur,3,org,3.0,NNS,full,/,/,/,/,/
16,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",breaking,break,VBG,Ger,Tenseless,Simple,Act,2.0,5.25e-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,terror cells,0,4.79e-05,cells,indef,Plur,3,org,3.0,NNS,full,/,/,/,/,/
17,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",find,find,VB,Inf,Pres,Simple,Act,1.0,0.00055,/,/,do,/,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1.0,PRP,the news that the Baathists continue to penetrate the Iraqi government,0,0.000257,news,def,Sing,3,nonconc,21,NN,full,/,/,/,/,/
18,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",continue,continue,VBP,Fin,Pres,Simple,Act,3.0,0.00012,/,/,/,/,/,the Baathists,/,/,Baathists,4.07e-08,def,Plur,3,/,proper,3,NNPS,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
19,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",penetrate,penetrate,VB,Inf,Tenseless,Simple,Act,3.0,3.89e-06,/,/,/,/,/,the Baathists,/,/,Baathists,4.07e-08,def,Plur,3,/,proper,3,NNPS,the Iraqi government,0,0.000479,government,def,Sing,3,org,7.0,NN,full,/,/,/,/,/
