,ClauseID,Doc,SentID,SentForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim,AgPres,,,,,,,,,,,
0,1,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,0,"Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.",V,killed,kill,VBD,Fin,Past,Simple,Act,1,0.000155,/,/,/,/,American forces,/,/,forces,0.00012,indef,Plur,3,org,full,6,NNS,6,"Shaikh Abdullah al - Ani , the preacher",0,/,5.37E-07,Shaikh,def,Sing,3,/,10,NNP,proper,8,"at the mosque in the town of Qaim , near the Syrian border",at,mosque,8.32E-06,def,Sing,3,conc,15,NN,full,18,/,/,,,,,,,,,,,,,,,,,
1,2,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],V,causing,cause,VBG,Ger,Fut,Simple,Act,2,3.31E-05,/,will,be,/,This killing of a respected cleric,/,/,killing,7.24E-05,def,Sing,3,nonconc,full,10,NN,3,us,1,/,0.00102,us,def,Plur,1,human,1.5,PRP,pron,11,for years to come,for,years,0.000912,indef,Plur,3,nonconc,4,NNS,full,14,/,/,,,,,,,,,,,,,,,,,
2,3,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],V,come,come,VB,Inf,Tenseless,Simple,Act,1,0.000603,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
3,4,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,V,announced,announce,VBD,Fin,Past,Simple,Act,2,8.71E-05,/,/,/,/,Iraqi authorities,/,/,authorities,7.24E-05,indef,Plur,3,org,full,7,NNS,4,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
4,5,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,V,busted up,bust up,VBN,Part,Past,Perf,Act,2,4.78E-06,/,/,had,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,7,3 terrorist cells operating in Baghdad,0,/,4.79E-05,cells,indef,Plur,3,org,11,NNS,full,13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
5,6,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,V,operating,operate,VBG,Ger,Tenseless,Simple,Act,4,5.37E-05,/,/,/,/,3 terrorist cells,/,/,cells,4.79E-05,indef,Plur,3,org,full,4,NNS,13,/,0,/,/,/,/,/,/,/,/,/,/,/,in Baghdad,in,Baghdad,5.37E-06,def,Sing,3,/,3,NNP,proper,16,/,/,,,,,,,,,,,,,,,,,
6,7,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,3,Two of them were being run by 2 officials of the Ministry of the Interior!,V,run,run,VBN,Part,Past,Prog,Pass,1,0.000295,/,were,being,be,Two of them,/,/,Two,0.00129,indef,Plur,3,conc,num,3,CD,1,/,0,/,/,/,/,/,/,/,/,/,/,/,by 2 officials of the Ministry of the Interior,by,officials,4.90E-05,indef,Plur,3,human,14,NNS,full,9,/,/,,,,,,,,,,,,,,,,,
7,8,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",A,equivalent,equivalent,JJ,/,Tenseless,Simple,Act,4,3.47E-05,/,/,/,/,The MoI in Iraq,/,/,MoI,2.40E-06,def,Sing,3,/,proper,5,NNP,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
8,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",V,be,be,VB,Inf,Tenseless,Simple,Act,1,0.00631,/,/,would,/,this,/,/,this,0.00631,indef,Sing,3,/,det,1,DT,13,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
9,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",V,having,have,VBG,Ger,Tenseless,Simple,Act,2,0.000363,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
10,11,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",V,employ,employ,VB,Inf,Tenseless,Simple,Act,2,8.91E-06,/,/,/,/,J. Edgar Hoover,/,/,J.,9.77E-05,def,Sing,3,/,proper,5,NNP,18,members of the Weathermen bombers,0,/,0.000245,members,indef,Plur,3,NMA!,9,NNS,full,27,at a high level,at,level,0.000263,indef,Sing,3,conc,5,NN,full,26,/,/,,,,,,,,,,,,,,,,,
11,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,5,The third was being run by the head of an investment firm.,V,run,run,VBN,Part,Past,Prog,Pass,1,0.000295,/,was,being,be,The third,/,/,third,0.000209,def,/,3,conc,NMN!,2,JJ,2,/,0,/,/,/,/,/,/,/,/,/,/,/,by the head of an investment firm,by,head,0.000331,def,Sing,3,human,9,NN,full,8,/,/,,,,,,,,,,,,,,,,,
12,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,V,wonder,wonder,VBP,Fin,Pres,Simple,Act,2,7.59E-05,/,/,/,/,You,/,/,You,0.00977,def,/,2,human,pron,1,PRP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
13,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,V,manipulating,manipulate,VBG,Part,Past,Simple,Act,5,2.75E-06,/,/,was,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,4,the market,0,/,0.000195,market,def,Sing,3,org,3,NN,full,8,with his bombing targets,with,targets,2.45E-05,indef,Plur,3,human,6,NNS,full,12,/,/,,,,,,,,,,,,,,,,,
