X1,Unnamed: 0,ClauseID,Doc,SentID,SentForm,ClauseForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,PredFin,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,Obl2PosID,Obl3PosID,NonAlternable,SubjChain,ObjChain,OblChain,Obl2Chain,Obl3Chain,PrevVoice1,PrevVoice2,PrevVoice3,PrevVoice4,PrevVoice5,PrevVoice6,PrevVoice7,PrevVoice8,PrevVoice9,PrevVoice10,X81,X82,X83,X84,X85,X86,X87,X88,X89,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim
0,0,1,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,0,"Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.","American forces killed Shaikh Abdullah al - Ani , the preacher at the mosque in the town of Qaim , near the Syrian border",V,killed,kill,VBD,Fin,Past,Simple,Act,1,1.55e-4,Fin,/,/,/,/,American forces,/,/,forces,0.00012,indef,Plur,3,org,full,6,NNS,6,"Shaikh Abdullah al - Ani , the preacher",0,/,5.37E-07,Shaikh,def,Sing,3,/,10,NNP,proper,8,"at the mosque in the town of Qaim , near the Syrian border",at,mosque,8.32E-06,def,Sing,3,conc,15,NN,full,18,/,/,/,/,NA,/,/,/,/,/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],[ This killing of a respected cleric will be causing us trouble for years to come . ],V,causing,cause,VBG,Ger,Fut,Prog,Act,2,3.31e-5,Fin,/,will,be,/,This killing of a respected cleric,/,/,killing,7.24E-05,def,Sing,3,nonconc,full,10,NN,3,us,1,/,0.00102,us,def,Plur,1,human,1.5,PRP,pron,11,for years to come,for,years,0.000912,indef,Plur,3,nonconc,4,NNS,full,14,/,/,/,/,NA,/,/,/,/,/,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,3,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],to come,V,come,come,VB,Inf,Tenseless,Simple,Act,1,6.03e-4,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,4,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad,V,announced,announce,VBD,Fin,Past,Simple,Act,2,8.71e-5,Fin,/,/,/,/,Iraqi authorities,/,/,authorities,7.24E-05,indef,Plur,3,org,full,7,NNS,4,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,8,/,/,/,/,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,5,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,that they had busted up 3 terrorist cells operating in Baghdad,V,busted up,bust up,VBN,Part,Past,Perf,Act,2,4.78e-6,Fin,/,/,had,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,7,3 terrorist cells operating in Baghdad,0,/,4.79E-05,cells,indef,Plur,3,org,11,NNS,full,13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,8,19,/,/,/,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,6,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,operating in Baghdad,V,operating,operate,VBG,Ger,Tenseless,Prog,Act,4,5.37e-5,Nonfin,/,/,/,/,3 terrorist cells,/,/,cells,4.79E-05,indef,Plur,3,org,full,4,NNS,13,/,0,/,/,/,/,/,/,/,/,/,/,/,in Baghdad,in,Baghdad,5.37E-06,def,Sing,3,/,3,NNP,proper,16,/,/,/,/,NA,19,/,16,/,/,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,7,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,3,Two of them were being run by 2 officials of the Ministry of the Interior!,Two of them were being run by 2 officials of the Ministry of the Interior !,V,run,run,VBN,Part,Past,Prog,Pass,1,2.95e-4,Fin,/,were,being,be,Two of them,/,/,Two,0.00129,indef,Plur,3,conc,num,3,CD,1,/,0,/,/,/,/,/,/,/,/,/,/,/,by 2 officials of the Ministry of the Interior,by,officials,4.90E-05,indef,Plur,3,human,14,NNS,full,9,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,8,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.","The MoI in Iraq is equivalent to the US FBI , so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s .",A,equivalent,equivalent,JJ,/,Tenseless,Simple,Act,4,3.47e-5,Nonfin,/,/,/,/,The MoI in Iraq,/,/,MoI,2.40E-06,def,Sing,3,/,proper,5,NNP,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s,V,be,be,VB,Inf,Tenseless,Simple,Act,1,0.00631,Fin,/,/,would,/,this,/,/,this,0.00631,indef,Sing,3,/,det,1,DT,13,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",so like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s,V,having,have,VBG,Ger,Tenseless,Prog,Act,2,3.63e-4,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
